/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009321-95	RF_042 - S.lyc LYC2962 - Lycopersicon sp
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009322-102	RF_043 - S.lyc LYC2910 - S pimpinellifolium unc
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009323-108	RF_044 - S.pim LYC2798 - S pimpinellifolium
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009324-109	RF_045 - S.lyc LYC2740 - S pimpinellifolium unc
/panfs/ANIMAL/group001/minjiumeng/tomato_reseq/SZAXPI008748-47	RF_046 - S.pim LA1584 - S pimpinellifolium
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009326-113	RF_047 - S.pim LA1578 - S pimpinellifolium
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009327-123	RF_049 - S.per LA1278 - S peruvianum new
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009328-129	RF_051 - S.chm LA2663 - S chiemliewskii
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009329-133	RF_052 - S.chm LA2695 - S chiemliewskii
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009330-136	RF_053 - S.che LA0483 - S cheesemaniae
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009331-140	RF_054 - S.lyc CGN15820 - S lycopersicum
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009332-142	RF_055 - S.che LA1401 - S cheesemaniae
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009333-158	RF_056 - S.neo LA2133 - S neorickii
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009334-166	RF_057 - S.neo LA0735 - S neorickii
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009359-46	RF_058 - S.arc LA2157 - S arcanum
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009335-169	RF_059 - S.arc LA2172 - S arcanum
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009336-14	RF_060 - S.per LA1954 - S peruvianum
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009337-15	RF_062 - S.hua LA1983 - S huaylasense
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009338-16-2	RF_063 - S.hua LA1365 - S huaylasense
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009339-17-2	RF_064 - S.chi CGN15532 - S chilense
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009340-18	RF_065 - S.chi CGN15530 - S chilense
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009341-19	RF_066 - S.hab CGN15791 - S habrochaites glabratum
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009342-21	RF_067 - S.hab PI134418 - S habrochaites glabratum
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009343-22-2	RF_068 - S.hab CGN15792 - S habrochaites glabratum
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009344-23	RF_069 - S.hab LA1718 - S habrochaites glabratum
/panfs/ANIMAL/group001/minjiumeng/tomato_reseq/SZAXPI008749-56	RF_070 - S.hab LA1777 - S habrochaites
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009345-24	RF_071 - S.hab LA0407 - S habrochaites
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009346-25	RF_072 - S.hab LYC4 - S habrochaites
/panfs/ANIMAL/group001/minjiumeng/tomato_reseq/SZAXPI008753-79	RF_073 - S.spp LA1272 - S pennellii
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009347-26	RF_074 - S.pen LA0716 - S pennellii
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009348-27	RF_075 - S.hua LA1364 - S arcanum new
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009349-30	RF_077 - S.lyc TR00018 - Large Red Cherry
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009350-31	RF_078 - S.lyc EA00940 - Porter
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009351-32	RF_088 - S.lyc TR00019 - Bloodt Butcher
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009352-35	RF_089 - S.lyc EA01019 - Brandywine
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009325-56	RF_090 - S.lyc TR00020 - Dixy Golden Giant
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009353-36	RF_091 - S.lyc EA01037 - Giant Belgium
/panfs/ANIMAL/group001/minjiumeng/tomato_reseq/SZAXPI008750-57	RF_093 - S.lyc TR00021 - Kentucky Beefsteak
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009354-37	RF_094 - S.lyc TR00022 - Marmande VFA
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009355-39	RF_096 - S.lyc TR00023 - Thessaloniki
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009356-41	RF_097 - S.lyc EA01640 - Watermelon Beefsteak
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009357-44	RF_102 - S.lyc LA4133 - TR00026
/panfs/ANIMAL/group001/minjiumeng/tomato_reseq/SZAXPI008751-74	RF_103 - S.lyc LA1421 - TR00027
/ifshk5/PC_PA_EU/PMO/Tomato_reseq/01.BWA/SZAXPI009358-45	RF_104 - S.gal LA1044 - S galapagense
/panfs/ANIMAL/group001/minjiumeng/tomato_reseq/SZAXPI008752-75	RF_105 - S.lyc LA1479 - TR00028_LA1479
